BOORDTABEL FIETSPLAN;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Project;Gem;Lengte;Wat;Kost;Finan-ciering;Belang;Moeilijkheidsgr;Timing studie;svz-studie;Timing werken;Svz- werken;Opmerkingen;Verantw.;;;;
1. Fietspaden/fietssuggestiestroken;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1.1 Bestaande infrastructuur;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Stallestraat tussen Neerstallesteenweg en rotonde;UKK;225;FP;;;;;;;;1990;staduitwaarts ontbreekt ! >>> bij vernieuwing rij bomen verplaatsen !;;;;;
Delleurlaan;WAT;310;FP;;;;;;;;1980;Ontbreekt aan één kant;US;;;83389;
TOTAAL;;80354;;;;;;;;;;;;;;69847;
1.2 Fietsprojecten uit meerjarenplanning;;;;;;;;;;;;;;;;27646;
;;;;;;;;;;;;;;;;13749;
Bd Maurice Carème - Theo Lambert;AND;1500;GFP;2700;stk;;;05/02;af;05;2005;probleem met markeringen : parkeerstrook wordt aks rijstrook gebruikt. Op te volgen door vervanger MC;Jan/Marianne;;;194631;
Haachtsesteenweg (Bordet - Witloof & ts Lindestraat en Bordet);EVE;2000;FP;572000;stk;;;;;05;2005;;B1;;;;
De Smet de Nayer;JET;1200;GFP;343200;stk;;;;;05;2006;inhuldiging 14/12/2005;B1;;;;
Picardstraat;MOL;525;GFP;150150;stk;;;05/2;;06;2006;testopstelling bezig, definitieve heraanleg 2008;B1;;;;
Goffinlaan;SAB;1000;FP;110000;a;;;;;06;2004;gescheiden fietspad;B1;;;;
Waterloosesteenweg ts Barrière en Molière;STG;1860;GFP+SS;3348;stk;;;05/02;;06;2006;volledige herasfaltering oktober 2006+markering opnieuw;Reeners/MC;;;;
Van Haelen;VOR;775;SS;6975;stk;;;;;05;2008;;Jan Schollaert;;;;
Vorstlaan tussen Wiener en HD;WAT;1800;BI;495000;Beliris, stk;;;05;;06;2006;inhuldiging 09/06 - Oplossen punctuele problemen. Aanpassing bestaande fietsinfrastructuur in functie van nieuwe trambedding;MIVB;;;;
De Frélaan (tussen Waterloosesteenweg en Elleboutlaan) ;UKK;1815;GFP+SS;3267;stk;2;1;06;6;07/1;2007;stuk Ellebout/Heldenplein (GFR2) wordt voorlopig met rust gelaten. Gemarkeerd fietspad in stijgende richting, suggestiestrook in dalende;Marc Demunter;;;;
Ducpétiauxlaan;STG;680;SS;1224;stk;;;06;;;2007;;Marc Demunter;;;;
Middaglijnstraat;STJ;360;SS;;stk;;;06;;;2007;;Marc Demunter;;;;
Maria Hendrikalaan;VOR;700;GFP+SS;200200;stk;2;1;06/2;bezig;07/mei;2008;definitieve plannen worden opgemaakt. Er komt een berm op het lagere gedeelte, niet tss Lainé en Besme. Gemarkeerde fietspaden oval in stijgende lijn, suggestiestroken in dalende. ;Yvan Libin;;;;
Diamantlaan;SCH;850;BF;;;1;1;07;6;07/2;2008;cfr studie busbanen en PCM Schaarbeek;Vincent Reeners;;;;
Meiseselaan ;BRU;930;GFP;1674;;1;1;07;1;08;2008;;Anne Mougenot;;;;
Vooruitgangsstraat;SCH;930;RD;184140;stk;1;1;05;6;07/1;2006;werken van start op 21/5/7;Marc Demunter;;;;
de Beaulieulaan;OUD;534;SS;961,2;;2;1;07;1;08/1;2008;;Eric Falier/Anne Mougenot;;;;
Brusselse Steenweg (STIB);VOR;435;FP+GFP+SS;;vicom;2;2;06;6;07/2;2006;;voies STIB-Aménagements DPT;;;;
Birminghamstraat;MOL;1550;SS;2790;;2;1;07;1;08/1;2008;;Pedro Dossantos;;;;
Doverstraat;AND;465;SS;837;;2;1;07;1;08/1;2008;in kader van werf Vanderbruggensquare;Pedro Dossantos;;;;
Eversestraat;EVE;472;GFP;849,6;;1;0;08;1;09;2008;;Anne Mougenot;;;;
Kolonel Bourgstraat;SCH-EVE;751;GFP;1351,8;;2;2;07;1;08;2008;Brief Evere ivm doorsteek tussen Bourg en Gemeenschappen;Anne Mougenot;;;;
Koningsstraat;SCH- SJN;623;RD;1121,4;;3;1;07;1;08/1;2008;ontbreekt markering ter hoogte van Koninklijke St-Mariakerk;Anne Mougenot;;;;
